smiles,prediction,faithfulness_score,validation_passed,rejection_reason,generation_attempts,n_toxicophores,score_causal,score_counterfactual,score_grounding
CCN(CC)C(=S)SSC(=S)N(CC)CC,0.5562593340873718,1.0,True,,1,1,1.0,1.0,1.0
CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,0.04735838994383812,1.0,True,,1,0,1.0,1.0,1.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,0.40714526176452637,1.0,True,,1,0,1.0,1.0,1.0
C1CCOC1,0.06199141964316368,1.0,True,,1,0,1.0,0.5,1.0
CN1C(C)(C)CCCC1(C)C,0.034932591021060944,1.0,True,,1,0,1.0,1.0,1.0
CC1=CCC(C(C)(C)O)CC1,0.031906887888908386,1.0,True,,1,0,1.0,1.0,1.0
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccccc1,0.045517295598983765,1.0,True,,1,0,1.0,1.0,1.0
CC(=O)c1ccc(O)cc1,0.0553804449737072,1.0,True,,1,0,1.0,1.0,1.0
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,0.06387137621641159,1.0,True,,1,0,1.0,1.0,1.0
F[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,0.7786009907722473,1.0,True,,1,0,1.0,1.0,1.0
CCOc1ccc(O)cc1,0.14111196994781494,1.0,True,,1,0,1.0,1.0,1.0
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.31853964924812317,1.0,True,,1,0,1.0,1.0,1.0
CCSCc1ccccc1OC(=O)NC,0.06521498411893845,1.0,True,,1,0,1.0,1.0,1.0
Brc1nc2ccccc2s1,0.1682366579771042,1.0,True,,1,0,1.0,1.0,1.0
CCC(C)Br,0.011112392880022526,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
N#CCc1ccccc1,0.06444469839334488,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)c1ccc(CO)o1,0.03130059316754341,1.0,True,,1,0,1.0,1.0,1.0
N#Cc1ccccc1,0.03768806532025337,1.0,True,,1,0,1.0,1.0,1.0
N#CCBr,0.0113318907096982,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)CBr,0.031450651586055756,1.0,True,,1,0,1.0,1.0,1.0
CN1CC(O)C2=C/C(=N/NC(N)=O)C(=O)C=C21,0.19747775793075562,1.0,True,,1,0,1.0,1.0,1.0
Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,0.08461868017911911,1.0,True,,1,0,1.0,1.0,1.0
O=S(=O)(O)F,0.036259789019823074,1.0,True,,1,0,1.0,1.0,1.0
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.3472829759120941,1.0,True,,1,0,1.0,1.0,1.0
N=C(N)c1ccc(OCCCOc2ccc(C(=N)N)cc2Br)c(Br)c1,0.18677566945552826,1.0,True,,1,0,1.0,1.0,1.0
CN1[C@H]2CCC[C@@H]1C[C@H](NC(=O)c1nn(C)c3ccccc13)C2,0.09710999578237534,1.0,True,,1,0,1.0,1.0,1.0
O=C(Cl)/C=C/C(=O)Cl,0.06998711824417114,1.0,True,,1,0,1.0,1.0,1.0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCC[C@H]2O,0.044730816036462784,1.0,True,,1,0,1.0,1.0,1.0
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,0.07125247269868851,1.0,True,,1,0,1.0,1.0,1.0
CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.07366631180047989,1.0,True,,1,0,1.0,1.0,1.0
O=C1OC2(c3ccccc31)c1cc(I)c(O)c(I)c1Oc1c2cc(I)c(O)c1I,0.3933429419994354,1.0,True,,1,0,1.0,1.0,1.0
Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1,0.1538788229227066,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
COCCCOc1ccnc(CS(=O)c2nc3ccccc3[n-]2)c1C,0.2205153852701187,1.0,True,,1,0,1.0,1.0,1.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,0.1460692435503006,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,0.4324779510498047,1.0,True,,1,0,1.0,1.0,1.0
CCCCCCCCOC(C)=O,0.023541158065199852,1.0,True,,1,0,1.0,1.0,1.0
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,0.1822771281003952,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)CCSCCC(=O)O,0.02746502496302128,1.0,True,,1,0,1.0,1.0,1.0
Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O,0.09928262233734131,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,0.34273943305015564,1.0,True,,1,0,1.0,1.0,1.0
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0.1475110501050949,1.0,True,,1,0,1.0,1.0,1.0
CC(C[N+](C)(C)C)OC(N)=O,0.05998286232352257,1.0,True,,1,0,1.0,1.0,1.0
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.06351345777511597,1.0,True,,1,0,1.0,1.0,1.0
CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.3069804608821869,1.0,True,,1,0,1.0,1.0,1.0
CCCC(=O)O[C@]1(C(=O)COC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.30904850363731384,1.0,True,,1,0,1.0,1.0,1.0
O=C(CBr)OCc1ccccc1,0.021113207563757896,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CCCCCc1ccc(Cl)cc1,0.021441051736474037,1.0,True,,1,0,1.0,1.0,1.0
O=P(O)(Oc1ccccc1)Oc1ccccc1,0.2834574282169342,1.0,True,,1,1,1.0,1.0,1.0
COC(=O)c1ccccc1C,0.026488929986953735,1.0,True,,1,0,1.0,1.0,1.0
CC(C)(C)C(=O)c1ccccc1,0.043311502784490585,1.0,True,,1,0,1.0,1.0,1.0
O=C(Oc1ccccc1)c1ccccc1,0.21484363079071045,1.0,True,,1,0,1.0,1.0,1.0
CCOC(=O)c1ccc(C)cc1,0.02561001479625702,1.0,True,,1,0,1.0,1.0,1.0
Cc1cc(C)cc(N)c1,0.04849281534552574,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,0.35421183705329895,1.0,True,,1,0,1.0,1.0,1.0
Cc1cc(C2(c3cc(C)c(O)cc3C)OS(=O)(=O)c3ccccc32)c(C)cc1O,0.2556256949901581,1.0,True,,1,0,1.0,1.0,1.0
Cc1ccc(S(=O)(=O)[O-])cc1C,0.021055614575743675,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
Cc1cccc(C)c1N,0.03725737705826759,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
Cc1ccc(C)c(N)c1,0.054345425218343735,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
Cc1cccc(N)c1C,0.0590289868414402,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O,0.2008049041032791,1.0,True,,1,0,1.0,1.0,1.0
CC=Cc1ccc(O)c(OC)c1,0.09246241301298141,1.0,True,,1,0,1.0,1.0,1.0
FC(F)(F)C(Cl)Br,0.009013480506837368,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1,0.028613949194550514,1.0,True,,1,0,1.0,1.0,1.0
CCCCOC(=O)c1ccc(N)cc1,0.2390301376581192,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
Cc1ccc2c(C)cccc2c1,0.024807922542095184,1.0,True,,1,0,1.0,1.0,1.0
CCC(C)C(C)(COC(N)=O)COC(N)=O,0.026266949251294136,1.0,True,,1,0,1.0,1.0,1.0
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0.2504898011684418,1.0,True,,1,0,1.0,1.0,1.0
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.05634156987071037,1.0,True,,1,0,1.0,0.5,1.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,0.0867796242237091,1.0,True,,1,0,1.0,1.0,1.0
CCNCC.O=S(=O)(O)c1cc(O)ccc1O,0.03854751959443092,1.0,True,,1,0,1.0,1.0,1.0
Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,0.20921267569065094,1.0,True,,1,0,1.0,1.0,1.0
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,0.40926146507263184,1.0,True,,1,0,1.0,1.0,1.0
CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,0.23628385365009308,1.0,True,,1,0,1.0,1.0,1.0
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,0.20391833782196045,1.0,True,,1,0,1.0,1.0,1.0
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,0.09630116820335388,1.0,True,,1,0,1.0,1.0,1.0
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12,0.08825606852769852,1.0,True,,1,0,1.0,1.0,1.0
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)[O-],0.13663171231746674,1.0,True,,1,1,1.0,1.0,1.0
N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,0.38234975934028625,1.0,True,,1,0,1.0,1.0,1.0
CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.06509444862604141,1.0,True,,1,0,1.0,1.0,1.0
CCN(CC)CCc1nc(-c2ccccc2)no1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.06961312890052795,1.0,True,,1,0,1.0,1.0,1.0
CN1[C@H]2CC[C@@H]1C[C@H](OC1c3ccccc3CCc3ccccc31)C2.O=C(O)CC(O)(CC(=O)O)C(=O)O,0.09082455188035965,1.0,True,,1,0,1.0,1.0,1.0
COc1ccc(C=O)cc1,0.06374336034059525,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,0.3095252215862274,1.0,True,,1,0,1.0,1.0,1.0
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,0.2691937983036041,1.0,True,,1,0,1.0,1.0,1.0
CCCOC(=O)c1ccc(C(=O)OCCC)nc1,0.03639131411910057,1.0,True,,1,0,1.0,1.0,1.0
CC(O)CCO,0.038326703011989594,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)CCS,0.032572679221630096,1.0,True,,1,0,1.0,1.0,1.0
CCCC[n+]1ccc(C)cc1.O=S(=O)([O-])C(F)(F)F,0.13952572643756866,1.0,True,,1,1,1.0,1.0,1.0
CCC[N+]1(C)CCCCC1.F[B-](F)(F)F,0.07005324214696884,1.0,True,,1,0,1.0,1.0,1.0
CC(=O)C1CCCCC1=O,0.014379850588738918,1.0,True,,1,0,1.0,1.0,1.0
CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,0.10663676261901855,1.0,True,,1,1,1.0,1.0,1.0
CCCCN1C=CN(C)C1,0.03999747708439827,1.0,True,,1,0,1.0,1.0,1.0
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,0.43156829476356506,1.0,True,,1,0,1.0,1.0,1.0
CCC[N+]1(C)CCCCC1,0.07099886983633041,1.0,True,,1,0,1.0,1.0,1.0
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,0.07418648898601532,1.0,True,,1,0,1.0,1.0,1.0
N=C(N)N[N+](=O)[O-],0.05627584829926491,1.0,True,,1,0,1.0,1.0,1.0
CC(C)(C)OOC(C)(C)C,0.030520357191562653,1.0,True,,1,0,1.0,1.0,1.0
CCC(C)Nc1ccc(NC(C)CC)cc1,0.2001589685678482,1.0,True,,1,0,1.0,1.0,1.0
CCCCNCCCC,0.021635515615344048,1.0,True,,1,0,1.0,1.0,1.0
CCCCN(CCO)CCCC,0.034963686019182205,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)c1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,0.16444182395935059,1.0,True,,1,0,1.0,1.0,1.0
CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2,0.1830650120973587,1.0,True,,1,0,1.0,1.0,1.0
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0.3837020695209503,1.0,True,,1,0,1.0,1.0,1.0
Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,0.2731168866157532,1.0,True,,1,0,1.0,0.5,1.0
C[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O,0.15611408650875092,1.0,True,,1,0,1.0,1.0,1.0
CCOC(=O)NNc1nncc2ccccc12,0.16395604610443115,1.0,True,,1,0,1.0,1.0,1.0
CC(C)(C)NCCNC(C)(C)C,0.03945861756801605,1.0,True,,1,0,1.0,1.0,1.0
CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,0.13870589435100555,1.0,True,,1,0,1.0,1.0,1.0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(=O)OC/C=C(\C)CCC=C(C)C,0.03759261593222618,1.0,True,,1,0,1.0,1.0,1.0
CCN(CC)Cc1nccn1-c1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,0.15300510823726654,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
OC1CCCCCCCCCCC1,0.041833966970443726,1.0,True,,1,0,1.0,0.5,1.0
CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,0.2605765163898468,1.0,True,,1,0,1.0,1.0,1.0
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,0.07391351461410522,1.0,True,,1,0,1.0,1.0,1.0
COC(=O)c1ccc(C(=O)O)cc1,0.02703228034079075,1.0,True,,1,0,1.0,1.0,1.0
CN(C)CCOCCO,0.027726279571652412,1.0,True,,1,0,1.0,1.0,1.0
CC(C)[N+](C)(C)CC(O)COc1cccc2ccccc12,0.07148873060941696,1.0,True,,1,0,1.0,1.0,1.0
Cc1ccc(S(=O)(=O)NC(=O)N[C@@H](C)Cc2ccccc2)cc1,0.03234441205859184,1.0,True,,1,0,1.0,1.0,1.0
Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1,0.0460532121360302,1.0,True,,1,0,1.0,1.0,1.0
CC=CC=NNC(=O)c1ccncc1,0.2158798724412918,1.0,True,,1,0,1.0,1.0,1.0
O=C1C(=O)c2ncccc2-c2cccnc21,0.4496631622314453,1.0,True,,1,0,1.0,1.0,1.0
CC12CCC(C[N+](C)(CCC[N+](C)(C)C)C1)C2(C)C.COS(=O)(=O)[O-].COS(=O)(=O)[O-],0.05340287461876869,1.0,True,,1,0,1.0,1.0,1.0
Nc1ccc(C(=O)Nc2ccccc2N)cc1,0.5001574158668518,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
C[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,0.14434342086315155,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)C=CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0.09154164791107178,1.0,True,,1,0,1.0,1.0,1.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,0.021364474669098854,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CC/C=C\CCOC(=O)CC,0.027715357020497322,1.0,True,,1,0,1.0,1.0,1.0
CO[PH](=O)OC,0.019055882468819618,1.0,True,,1,0,1.0,1.0,1.0
C=CC(C)(CCC=C(C)C)OC(=O)CC,0.03214921057224274,1.0,True,,1,0,1.0,1.0,1.0
CN1C(=O)CC[C@H]1c1cccnc1,0.02136300504207611,1.0,True,,1,0,1.0,1.0,1.0
C[C@H]1C[C@@H](O)CC(C)(C)C1,0.05221220478415489,1.0,True,,1,0,1.0,1.0,1.0
ClP(Cl)c1ccccc1,0.017810337245464325,1.0,True,,1,0,1.0,1.0,1.0
C1COCO1,0.0026506048161536455,1.0,True,,1,0,1.0,0.5,1.0
Cc1c(O)cccc1O,0.16711120307445526,1.0,True,,1,0,1.0,1.0,1.0
CCOC(=O)CC([O-])C(=O)OCC,0.005655547603964806,1.0,True,,1,0,1.0,1.0,1.0
c1ccc(CCc2ccccc2)cc1,0.11736118793487549,1.0,True,,1,0,1.0,1.0,1.0
COC(=O)c1ccccc1,0.030316047370433807,1.0,True,,1,0,1.0,1.0,1.0
C=CC(=O)OCC(C)OCC(C)OCC(C)OC(=O)C=C,0.34579381346702576,1.0,True,,1,1,1.0,1.0,1.0
Cc1ccc(CO)cc1,0.056126054376363754,1.0,True,,1,0,1.0,1.0,1.0
C/C=C(/C)C#N,0.019687745720148087,1.0,True,,1,0,1.0,1.0,1.0
C=CC(=O)OCC[N+](C)(C)C,0.13382132351398468,1.0,True,,1,0,1.0,1.0,1.0
O=C(C=Cc1ccccc1)OCc1ccccc1,0.34726932644844055,1.0,True,,1,1,1.0,1.0,1.0
N#Cc1ccccc1O,0.1885596662759781,1.0,True,,1,0,1.0,1.0,1.0
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.19787345826625824,1.0,True,,1,0,1.0,1.0,1.0
CC(N)C12CC3CC(CC(C3)C1)C2,0.037542782723903656,1.0,True,,1,0,1.0,1.0,1.0
CC(C)(N)Cc1ccc(Cl)cc1,0.03681354224681854,1.0,True,,1,0,1.0,1.0,1.0
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,0.015288203954696655,1.0,True,,1,0,1.0,1.0,1.0
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,0.3211129903793335,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,0.03249548375606537,1.0,True,,1,0,1.0,1.0,1.0
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,0.3960760831832886,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
O=C(O)CCC(=O)O.c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,0.09918740391731262,1.0,True,,1,0,1.0,1.0,1.0
CC1NCCOC1c1ccccc1,0.03302188590168953,1.0,True,,1,0,1.0,1.0,1.0
CCCc1ncc(C(=O)O)s1,0.047354888170957565,1.0,True,,1,0,1.0,1.0,1.0
O=C(CCOCCOCCOCCOCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,0.056847717612981796,1.0,True,,1,0,1.0,1.0,1.0
CCCCCC(CO)CCC,0.02413719706237316,1.0,True,,1,0,1.0,1.0,1.0
Cc1cccc2[nH]nnc12,0.02294807881116867,1.0,True,,1,0,1.0,1.0,1.0
CCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](OCCO)[C@H]1OCCO,0.127043679356575,1.0,True,,1,0,1.0,1.0,1.0
CS(=O)(=O)OCC(O)C(O)COS(C)(=O)=O,0.05183477699756622,1.0,True,,1,0,1.0,1.0,1.0
C=CCN(CC=C)CC=C,0.07026056945323944,1.0,True,,1,0,1.0,0.5,1.0
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,0.030711466446518898,1.0,True,,1,0,1.0,0.5,1.0
O=C(NCO)NCO,0.03097342699766159,1.0,True,,1,0,1.0,1.0,1.0
Cc1cccc(O)c1C,0.05793498083949089,1.0,True,,1,0,1.0,1.0,1.0
Cc1ccc(C)c(O)c1,0.0455196313560009,1.0,True,,1,0,1.0,1.0,1.0
Cc1cc(C)cc(O)c1,0.05165824666619301,1.0,True,,1,0,1.0,1.0,1.0
CN(C)c1ccc(N)cc1,0.4974023401737213,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,0.17475932836532593,1.0,True,,1,0,1.0,1.0,1.0
Nc1cc(=O)nc(N)[nH]1,0.019101766869425774,1.0,True,,1,0,1.0,1.0,1.0
Cc1coc2c1CCC(C)C2,0.024972572922706604,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
Nc1c[n+](N2CCOCC2)no1,0.005785301327705383,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CC(C)(Cl)Cl,0.015052399598062038,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)Cc1ccc(OCCNC[C@H](O)c2ccccc2)cc1,0.08486786484718323,1.0,True,,1,0,1.0,1.0,1.0
CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.0963059663772583,1.0,True,,1,0,1.0,1.0,1.0
Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N,0.10082292556762695,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1,0.44899725914001465,0.0,False,Failed faithfulness validation after max attempts,3,0,0.0,0.5,1.0
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,0.46185001730918884,1.0,True,,1,0,1.0,1.0,1.0
CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0.3344457149505615,1.0,True,,1,0,1.0,1.0,1.0
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0.1076991856098175,1.0,True,,1,0,1.0,1.0,1.0
O=C(O)c1ccc(OCCn2ccnc2)cc1,0.24390268325805664,1.0,True,,1,0,1.0,1.0,1.0
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,0.04243500530719757,1.0,True,,1,0,1.0,1.0,1.0
COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2ncccc2OCC(F)(F)F)n1,0.11873818188905716,1.0,True,,1,0,1.0,1.0,1.0
